Headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric automaker Lucid Motors has completed the initial phase of its     million factory a milestone required to begin production of its first luxury all electric Air sedan this spring The factory which is located about halfway between Tucson and Phoeni ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prius may be one of the most iconic green vehicles in the world but Toyota is among the last to adopt pure EVs Now that electric vehicle sales are starting to take off however Toyota is finally ready to get serious The automaker has teased an all ele ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivian is preparing to ship its electric truck and SUV next year and it has updated pricing for the vehicles There ll be launch editions for each with included off road upgrades as part of an Adventure Package The R T pickup truck has a base price of      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Seattle based startup Recurrent said today it has closed on     million in financing as it looks to become the Carfax for electric vehicle batteries   The battery system is arguably the most important part of any electric vehicle and as the market for us ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drivers cruising along an off the beaten track might stumble upon an unusual sight in the coming months  a Rivian electric charging station The electric automaker has designed and is now starting to build out a network of electric vehicle charging stations t ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over the next five years Maserati plans to electrify its entire lineup   but as Electrek points out don t expect to see the automaker announce a flood of battery electric models just yet During an online fashion event caught by Reuters Maserati CEO David ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Motors said it will spend    billion over the next five years on the development of electric vehicles and automated technology a     percent increase that exceeds the automaker s investment and gas and diesel and is an effort bring products to marke ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford revealed Thursday the E Transit a configurable all electric cargo van that it s betting will be the new go to workhorse for commercial customers The E Transit is just one piece of the company s      billion investment in electrification But it could  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U S retailer Walmart and autonomous vehicle company Cruise are pairing up to test grocery delivery in Scottsdale Arizona Under the pilot program customers will be able to place an order from their local Walmart store and have it delivered via one of Cruis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric automaker Rivian will makes its hands free driver assistance system standard in every vehicle it builds including its first two vehicles   the RT  pickup truck and R S SUV   that are coming to market in      Details about the system which is brand ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The UK plans to end the sale of new internal combustion vehicles by      and stop sales of new hybrid vehicles by      UK Prime Minister Boris Johnson made the announcement as part of a sweeping new plan to address climate change ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Station is a weekly newsletter dedicated to all things transportation  Sign up here   just click The Station   to receive it every Saturday in your inbox Hi folks welcome back to The Station  a newsletter dedicated to all the present and future ways peo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian electric truck and bus manufacturer The Lion Electric Company said Monday it plans to become a publicly traded company via a merger with special purpose acquisition company Northern Genesis Acquisition Corp The combined company which will be listed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrival has gone from stealthy electric vehicle startup to prospective public company in a span of a year The UK based company which operated in relative secrecy for several years until January when it announced a     million investment from Hyundai and Ki ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At its  virtual  NextGen      event BMW today announced that the BMW iX its new all electric flagship previously known as the iNext will launch at the end of      Based on BMW s fifth generation eDrive technology the iX will get a new look   and new kidn ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The EPA just released its findings on the Mustang Mach E and it s a mixture of good news and bad news Depending on the model the EPA says the Mach E is good for just     miles to     miles on a charge On the one hand the Mach E matched Ford s range targe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric cars are undeniably the way of the future but a company called Lunaz has been bringing that technology to older classic vehicles like the Jaguar XK    and Rolls Royce Phantom V As of today the company is expanding its lineup to include Range Rove ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivian CEO eyes smaller electric vehicles for China Europe Reuters,Electric vehicle startup Rivian which is backed by Amazon  AMZN O  and Ford Motor Co  F N  on Wednesday said it plans to follow up its first two products a full size pickup and SUV with smaller models targeted at China and Europe where it may eventually b ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The cost of battery cells used for electric vehicles has fallen to an average of     per kilowatt hour  kWh  making such cars competitive with those using internal combustion engines  ICE  according to Benchmark Mineral Intelligence  BMI  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxconn is hitching a bumpy ride with electric vehicles The    billion iPhone assembler formally known as Hon Hai Precision Industry wants to diversify by supplying parts for     of the world s green cars by      It s an ambitious and risky goal but the ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivian CEO eyes smaller electric vehicles for China Europe Reuters,Electric vehicle startup Rivian which is backed by Amazon and Ford Motor Co on Wednesday said it plans to follow up its first two products a full size pickup and SUV with smaller models targeted at China and Europe where it may eventually build some vehic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The cost of battery cells used for electric vehicles has fallen to an average of     per kilowatt hour  kWh  making such cars competitive with those using internal combustion engines  ICE  according to Benchmark Mineral Intelligence  BMI  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
