timestamp,tweet_text,username,all_hashtags,followers_count
2020-12-06 03:16:25,The latest Tech News Today! https://t.co/rJLFeagJ9f #ai #ml,ldgregg,"['ai', 'ml']",742
2020-12-06 03:16:19,"Brava, 12 year old #FathiaAbdullahi, for engineering a #robot.  https://t.co/LftFZh8yHF https://t.co/zMJ6joWQ3k",VictoriaMahoney,"['FathiaAbdullahi', 'robot']",21839
2020-12-06 03:16:12,How to select the right valve design? [VIDEO] https://t.co/Mj9E5LJtuD #MFG #SME #industrial #valves #actuators #gaskets #electrical #pneumatic #hydraulic #instrumentation #manufacturers #NDT #OSHA #welding #PPE #engineering #oilandgas,anand_rkrishnan,"['MFG', 'SME', 'industrial', 'valves', 'actuators', 'gaskets', 'electrical', 'pneumatic', 'hydraulic', 'instrumentation', 'manufacturers', 'NDT', 'OSHA', 'welding', 'PPE', 'engineering', 'oilandgas']",2137
2020-12-06 03:16:00,Everyone is looking to build an AI but to some of us that old news.   #ai #ArtificialIntelligence #MachineLearning #deeplearning #aws  @awscloud  #AWSreInvent #NeuralNetworks   https://t.co/3zc14K0fjw,HavenBaxie,"['ai', 'ArtificialIntelligence', 'MachineLearning', 'deeplearning', 'aws', 'AWSreInvent', 'NeuralNetworks']",58
2020-12-06 03:15:51,Click below to see my 24-hour #Bitcoin price prediction on the Pynk Beta !! 🙌 Comment below to tell me your prediction... 🧠 CrowdWisdom $BTCUSD $BTC #AI #Fintech #artificialintelligence 🎖️ https://t.co/p4JjuCyl68 lewat @Pynk_io,takhasimura2,"['Bitcoin', 'AI', 'Fintech', 'artificialintelligence']",207
2020-12-06 03:15:48,"At @TechBeaconCom, @ChristopherNull’s special report, Essential Guide to #AI and the #SOC, is out. Here are the key takeaways for your #SecOps team.   Understand the ins, the outs, and the best practices. 👉  https://t.co/MqyfiXxZI6 https://t.co/toBQUv4BFL",cobolmf,"['AI', 'SOC', 'SecOps']",633
2020-12-06 03:15:11,"Get smart with #AI in the #SOC … @MicroFocusSec’s @eeksock, the @IntersetAI CTO, shares best practices for choosing, testing, automating, and measuring.  Get the most out of your #security #analytics at @TechBeaconCom.  👉  https://t.co/wT8yLoKeXp https://t.co/LZcxTQQXL8",cobolmf,"['AI', 'SOC', 'security', 'analytics']",633
2020-12-06 03:15:02,USING BLOCKCHAIN TECHNOLOGY FOR E-LEARNING. V.A. Tolvatov &amp; others https://t.co/Auy7cYIwAt #blockchain #educación #education #elearning #Blearning #onlinelearning #remotelearning #EDreform #TIC #tecnología #technology #innovation #P2P #platform #LMS  #pedagogía #Edtech #pedagogy https://t.co/9ftsIbY1lF,eraser,"['blockchain', 'educación', 'education', 'elearning', 'Blearning', 'onlinelearning', 'remotelearning', 'EDreform', 'TIC', 'tecnología', 'technology', 'innovation', 'P2P', 'platform', 'LMS', 'pedagogía', 'Edtech', 'pedagogy']",25632
2020-12-06 03:14:48,stunning glacier view .  #travel #nature #photography #travelphotography #love #photooftheday #instagood #travelgram #picoftheday #instagram #photo #beautiful #art #wanderlust #like #instatravel #naturephotography #adventure #travelblogger #follow #trip #landscape #summer #bhfyp https://t.co/sRG1hqbF1A,dnel_kng,"['travel', 'nature', 'photography', 'travelphotography', 'love', 'photooftheday', 'instagood', 'travelgram', 'picoftheday', 'instagram', 'photo', 'beautiful', 'art', 'wanderlust', 'like', 'instatravel', 'naturephotography', 'adventure', 'travelblogger', 'follow', 'trip', 'landscape', 'summer', 'bhfyp']",1
2020-12-06 03:14:36,The Queen Continues to Make History With Virtual Meetings at Windsor Castle via https://t.co/pFAxxuGGIH #Technology https://t.co/agVylHCiQw,Rozie_Harman,['Technology'],240
2020-12-06 03:14:35,'Parents are desperate.' Zoom Santas are cashing in via https://t.co/6nYeQXqVLl #Technology https://t.co/7cwrlpnqdd,Rozie_Harman,['Technology'],240
2020-12-06 03:14:14,Top 3 HAWKESBURY (02) 1. MORETHANNUMBERONE 64% 3. THAILAND 19% 2. CLEVER MAN 8% #Au #Racing #Tips,BetBotAu,"['Au', 'Racing', 'Tips']",438
2020-12-06 03:14:12,I have long held that neuronal activity is unknowable. #AI,DualismBot,['AI'],892
2020-12-06 03:14:02,What enterprise #CISOs need to know   about #AI and #cybersecurity   https://t.co/ppR1DAccyp #fintech #ArtificialIntelligence #MachineLearning @VentureBeat https://t.co/D0Beja7iR5,SpirosMargaris,"['CISOs', 'AI', 'cybersecurity', 'fintech', 'ArtificialIntelligence', 'MachineLearning']",105117
2020-12-06 03:13:21,", who could see?  What are you? are you seen in the stream?  I should have been ready me a friend, why not all this is the world?  The owners sailing the body at my back  and the steambranch is not elsewhere  and it was a candle in the rear for moonlight  #ai #poem #man",NeuralPoet,"['ai', 'poem', 'man']",217
2020-12-06 03:12:37,Can you recommend anyone for these 59 #Engineering jobs in #Delhi? Click the link in our bio to see them.,tmj_ide_eng,"['Engineering', 'Delhi']",212
2020-12-06 03:12:24,"@nytimes Give me a break with Civil Rights!! We now have the most efficient and reliable police officer ever...It has no bias, it only sees crime, and records everything...Hmmm sound like a problem solved to me. Civil Rights lmao!!!   #AI #DroneTechnology",ScentzMy2,"['AI', 'DroneTechnology']",2
2020-12-06 03:12:13,Look forward to the publication of the actual paper.  #ai #machinelearning #NLP  We read the paper that forced Timnit Gebru out of Google. Here’s what it says https://t.co/E3GlHUTrl4,Thematizer,"['ai', 'machinelearning', 'NLP']",851
2020-12-06 03:12:02,"""In 1950, he wrote a paper that was about the topic of how we could discern whether or not computers can think. #ai #technology #BigData #ML"" https://t.co/60XCLcUNxq",BenefitsMind,"['ai', 'technology', 'BigData', 'ML']",225
2020-12-06 03:12:01,Racing: Cracking result 2 start @hawkesburyrc with on top good thing Hurt Money at $3.80 TT landing on an early $2.00 rating &amp; S/Out Quinella with Princess of Leyden..  #GetIn #racing,NeilEvansmail,"['GetIn', 'racing']",5465
2020-12-06 03:11:27,Using Smart City #Technology to Adapt to COVID #Mobility Preferences https://t.co/MtR2dcpP1R https://t.co/SSV0G70JCO,MeetoftheMinds,"['Technology', 'Mobility']",9346
2020-12-06 03:11:21,"Have you heard about the “expanding fleet of bionic agents showing homes across the United States”? Like other applications of #AI and robotics, #COVID19 has made robo-real estate agents more popular.  https://t.co/hQ1fEuik4n",McKinsey_MGI,"['AI', 'COVID19']",167360
2020-12-06 03:11:20,Premium Automotive Domain Names for Sale! #AI #robotic #robot #AutonomousVehicles #selfdrivingcars #selfDrivingCar #tesla #uber #IOT https://t.co/6FvY1a0oic,PayetteMichel,"['AI', 'robotic', 'robot', 'AutonomousVehicles', 'selfdrivingcars', 'selfDrivingCar', 'tesla', 'uber', 'IOT']",31
2020-12-06 03:11:14,Two fundamental and inevitable changes are discussed here: creating tools that can be used without coding and using artificial intelligence to code. #AI   2/2,DEShellenberger,['AI'],3204
2020-12-06 03:11:13,#Future #NewProfilePic  If You Gettin Money You Her Type https://t.co/Fa3Cr0gJah,Kali2Kingston,"['Future', 'NewProfilePic']",148
2020-12-06 03:11:06,Drawbo - #crowdfunding campaign at 37% &amp; 5 days left #technology https://t.co/KfesSFCOS8,CrowdfundCentre,"['crowdfunding', 'technology']",24861
2020-12-06 03:11:00,How to succeed in Operational Risk Management. #Online Mini-Course - The A to Z Guide to Managing Operational Risk. https://t.co/T7l9CjDmMR #payments #banking #technology #ERM #training #courses #onlinetraining  #riskmanagement #fintech https://t.co/94l4xBulYX,StanleyEpstein,"['Online', 'payments', 'banking', 'technology', 'ERM', 'training', 'courses', 'onlinetraining', 'riskmanagement', 'fintech']",4573
2020-12-06 03:10:46,view . .  #travel #nature #photography #travelphotography #love #photooftheday #instagood #travelgram #picoftheday #instagram #photo #beautiful #art #wanderlust #like #instatravel #naturephotography #adventure #travelblogger #follow #trip #landscape #summer #bhfyp #happy #ig https://t.co/R7UZlzNH8R,dnel_kng,"['travel', 'nature', 'photography', 'travelphotography', 'love', 'photooftheday', 'instagood', 'travelgram', 'picoftheday', 'instagram', 'photo', 'beautiful', 'art', 'wanderlust', 'like', 'instatravel', 'naturephotography', 'adventure', 'travelblogger', 'follow', 'trip', 'landscape', 'summer', 'bhfyp', 'happy', 'ig']",1
2020-12-06 03:10:43,doodle #doodle #Robots #latinos #spicy #OC #originalart #OriginalContentArtist #art #AnimeGirl https://t.co/ooe1SxaBAs,LimitedThis,"['doodle', 'Robots', 'latinos', 'spicy', 'OC', 'originalart', 'OriginalContentArtist', 'art', 'AnimeGirl']",199
2020-12-06 03:10:10,"“China has to play a more active role in setting norms... in areas such as oceans, polar regions and #AI.”  “The problem... is that it is overly inclined towards protecting victims and... aggravating the legal responsibility of multinational companies to respect human rights.” https://t.co/XnBnnSVFmp",josephtlucas,['AI'],111
2020-12-06 03:10:03,Do you know what is IOT? Why it stood on the top in IT industry? Click the following link to know the details  https://t.co/3mqy5woW2D  #IOT #IOTA #iotd #iotaphitheta #iotworld,kits_trainings,"['IOT', 'IOTA', 'iotd', 'iotaphitheta', 'iotworld']",108
2020-12-06 03:10:02,Five Ways to show Ethernet Traffic on Linux! #server #techblog #searchengine #technology #tech #Cheatsheet #HowTo #linux #bmon #Ethernet #NetTraffic #iftop #IPTraffic #iptraf #aptget #installwireshark #ubuntu #ubuntu1604LTS #Ubuntu1804 #Wireshark https://t.co/neyJIIqJPW,GroupOnTechWeb,"['server', 'techblog', 'searchengine', 'technology', 'tech', 'Cheatsheet', 'HowTo', 'linux', 'bmon', 'Ethernet', 'NetTraffic', 'iftop', 'IPTraffic', 'iptraf', 'aptget', 'installwireshark', 'ubuntu', 'ubuntu1604LTS', 'Ubuntu1804', 'Wireshark']",2354
2020-12-06 03:10:01,#Ransomware news headlines trending on #Google https://t.co/KsYMFHPfgw #Cybersecurity #Technology,Cybersecinsider,"['Ransomware', 'Google', 'Cybersecurity', 'Technology']",7205
2020-12-06 03:09:54,This Company Uses AI to Outwit Malicious AI https://t.co/hv5oDDDJSf #ai,whymandesign,['ai'],1869
2020-12-06 03:09:51,Slot Machine Has a Handle on Fun https://t.co/ajSHRobx2i #IoT,davidgsIoT,['IoT'],3373
2020-12-06 03:09:50,"Register today for this @MicroFocus virtual event and see how #SMAX sets service management free. Discovery, automation, &amp; #AI are built in—not bolted on—to deliver the self-service autonomy everyone craves. #HybridIT https://t.co/00ILL6d0aR #MyCompany https://t.co/o1cWhbbIbc",cobolmf,"['SMAX', 'AI', 'HybridIT', 'MyCompany']",633
2020-12-06 03:09:23,@amarpreetkalkat Granted. Much of today’s #ai is devoted to doing the same old dumb stuff a little faster. The most important thing we can teach people is to view the output of an algorithm or model with a modicum of suspicion. That’s why the drumbeat of ‘ai is biased’ is so important.,JohnSumser,['ai'],29924
2020-12-06 03:09:00,"We welcome Professor Sir Adrian Smith, Institute Director and Chief Executive of The Alan Turing Institute, to #SWITCHSingapore 2020.  Tune into the UK perspective on the Future of #AI on Day 2! Hosted by @tradegovuk.  Get your pass now: https://t.co/katuPOx4Ze  #SFFxSWITCH https://t.co/70gf8dZvZK",SwitchSingapore,"['SWITCHSingapore', 'AI', 'SFFxSWITCH']",3148
2020-12-06 03:08:57,Excellent info graphic 👌👌 @andi_staub  I loved the mirroring between the fields and what the #AI does in each 👍 Simple and clever💡  #ArtificiallIntelligence #NLP #voicefirst #fintech #insurtech https://t.co/wNci5v8V5k,WhiteheartVic,"['AI', 'ArtificiallIntelligence', 'NLP', 'voicefirst', 'fintech', 'insurtech']",2537
2020-12-06 03:08:29,Provide for Skeleton Clip's Future—if you can!—That's our motto!—But a man's just a plain bum who don't provide for his own Past! 🤟🤟🤟 #future #man #own https://t.co/cilCwEERAd,Skeleton_Clip,"['future', 'man', 'own']",1882
2020-12-06 03:07:34,Enjoy the cool breeze round the clock by just fixing an AC in your space. Need assistance in Installation? We are right here for you to do that!  Book our technician now at  83676 76780 | 1800 313 2129   #ac #acinstallation #installation #technology #electronics #computer #laptop https://t.co/FwF6iep7fP,TechPerson_in,"['ac', 'acinstallation', 'installation', 'technology', 'electronics', 'computer', 'laptop']",3
2020-12-06 03:07:24,"my darling when you fuck with bae and you don't do the reverse horse position, it's because you haven't fucked well 👍💯 #Trending #bhfyp #love",junkeexx,"['Trending', 'bhfyp', 'love']",1175
2020-12-06 03:07:19,"☀️ 10 things I learnt from Michael Jordan's ""The Last Dance""  #womenintech #womenwhocode #WomenInSTEM #learntocode #CodeNewbie #technology #programming #100DaysOfCode #thelastdance #Netflix https://t.co/EJCcHlEaZU",anumsarmadmalik,"['womenintech', 'womenwhocode', 'WomenInSTEM', 'learntocode', 'CodeNewbie', 'technology', 'programming', '100DaysOfCode', 'thelastdance', 'Netflix']",420
2020-12-06 03:07:12,"Amazing. #breakthrough. ""While Jiuzhang achieved Gaussian boson sampling in just 200 seconds, the researchers estimated that the same calculation would take the world's fastest supercomputer, Fugaku, 600 million years to complete."" #technology #computation #QuantumComputing #bold https://t.co/RkvL54EO20",robertoalvarez,"['breakthrough', 'technology', 'computation', 'QuantumComputing', 'bold']",1156
2020-12-06 03:07:09,Artificial #Intelligence in #Unity A Beginner's Guide  https://t.co/lb9QsDernl #artificialintelligence #AI #computergames #unity #programming #game #development #gamedevelopment https://t.co/e32ucFu5KD,byLilyV,"['Intelligence', 'Unity', 'artificialintelligence', 'AI', 'computergames', 'unity', 'programming', 'game', 'development', 'gamedevelopment']",22805
2020-12-06 03:06:34,Heavy armor Dragonar rendered version finished - #mecha #art #artwork #robot #colored #superrobot #digitalart #art #rendered #dragonar #80s #realrobot https://t.co/1E5gXOdOir,JuanRaf94551423,"['mecha', 'art', 'artwork', 'robot', 'colored', 'superrobot', 'digitalart', 'art', 'rendered', 'dragonar', '80s', 'realrobot']",52
2020-12-06 03:06:32,"My baby spare time, what she loves to do when not working out.  #fun #sparetime #girlpower #younggirlsrock #girlpower #future #futuregymnast #blackgirlsrock #blackgirlgymnast https://t.co/e681woIKK2",KingdomPassport,"['fun', 'sparetime', 'girlpower', 'younggirlsrock', 'girlpower', 'future', 'futuregymnast', 'blackgirlsrock', 'blackgirlgymnast']",451
2020-12-06 03:06:14,"#TURKEY: To report &amp; get help 4 #VAW and #DV, call 0212 656 9696 ph 0549 656 9696 (only in #Istanbul)",PixelProject,"['TURKEY', 'VAW', 'DV', 'Istanbul']",22049
2020-12-06 03:06:13,"My baby spare time, what she loves to do when not working out.  #fun #sparetime #girlpower #younggirlsrock #girlpower #future #futuregymnast #blackgirlsrock #blackgirlgymnast https://t.co/E02nJ9O1y1",drspearsjr,"['fun', 'sparetime', 'girlpower', 'younggirlsrock', 'girlpower', 'future', 'futuregymnast', 'blackgirlsrock', 'blackgirlgymnast']",320
2020-12-06 03:06:09,"After becoming the first woman from South Asia to establish jewelry business, Vasundhara Kasaraneni will now promote an all-women's motorsport rally team, a first in India  @BaniYadavOffc @VWmotorsportind @fmsci #PragathiGowda #Motorsport   https://t.co/Edy24GScmD https://t.co/0r7uyvLlrA",sashidharadivi,"['PragathiGowda', 'Motorsport']",95
2020-12-06 03:05:34,Advanced #DigitalTransformation #BusinessAgility #CX #UX #IoT #AI #Futurist #Polymath #futureofwork @UserExperienceU https://t.co/sGpkHC0yij,KarlSmithCIO,"['DigitalTransformation', 'BusinessAgility', 'CX', 'UX', 'IoT', 'AI', 'Futurist', 'Polymath', 'futureofwork']",106
2020-12-06 03:05:02,The coming war on the hidden #algorithms that trap people in poverty   https://t.co/rJF0jilYrW #privacy #AI,anthonya,"['algorithms', 'privacy', 'AI']",2223
2020-12-06 03:05:02,5 Best-Performing Tools that Build Real-Time Data Pipeline https://t.co/3poxTGVnPu  #ArtificialIntelligence #AI #DataScience #MachineLearning  #DeepLearning #IoT #DataAnalytics #PredictiveAnalytics #BigData  #DataScientists,_asifbhat_,"['ArtificialIntelligence', 'AI', 'DataScience', 'MachineLearning', 'DeepLearning', 'IoT', 'DataAnalytics', 'PredictiveAnalytics', 'BigData', 'DataScientists']",1591
2020-12-06 03:04:42,"As a result of #COVID19, new technologies are being developed and organizations are being granted access to #health #data that otherwise would be restricted. @ruchowdh and Mona Sloane, Ph.D. discuss the risks of #AI. #artificialintelligence https://t.co/YOraYgu2p2",MarkKremers6,"['COVID19', 'health', 'data', 'AI', 'artificialintelligence']",2
